3,3
5,15
7,7
9,63
11,341
13,819
15,15
17,255
19,9709
21,63
23,2047
25,25575
27,13797
29,475107
31,31
33,1023
35,4095
37,3233097
39,4095
41,41943
43,5461
45,4095
47,8388607
49,2097151
51,255
53,3556769739
55,1048575
57,29127
59,31675383749
61,65498251203
63,63
65,4095
67,0
69,4194303
71,34359738367
73,511
75,1048575
77,1073741823
79,549755813887
81,10871635887
83,0
85,255
87,268435455
89,2047
91,4095
93,1023
95,22906492245
97,1627389855
99,3243933
101,0
103,2251799813685247
105,4095
107,0
109,28573587
111,22906492245
113,1851279
115,17592186044415
117,4095
119,16777215
121,0
123,1048575
125,0
127,127
129,16383
131,0
133,262143
135,68719476735
137,0
139,0
141,70368744177663
143,1152921504606846975
145,2375535
147,4398046511103
149,0
151,32767
153,16777215
155,1048575
157,10536091491
159,4503599627370495
161,8589934591
163,0
165,1048575
167,0
169,0
171,87381
173,0
175,1152921504606846975
177,95026151247
179,0
181,0
183,1152921504606846975
185,48496455
187,1099511627775
189,262143
191,0
193,0
195,4095
197,0
199,0
201,0
203,0
205,209715
207,0
209,0
211,0
213,0
215,268435455
217,32767
219,262143
221,16777215
223,137438953471
225,1152921504606846975
227,0
229,0
231,1073741823
233,536870911
235,0
237,0
239,0
241,986895
243,0
245,0
247,68719476735
249,0
251,8422162181
253,0
255,255
257,65535
259,68719476735
261,0
263,0
265,17783848695
267,4194303
269,0
271,0
273,4095
275,1048575
277,0
279,1073741823
281,0
283,0
285,68719476735
287,1152921504606846975
289,0
291,281474976710655
293,0
295,0
297,0
299,0
301,4398046511103
303,0
305,327491256015
307,0
309,0
311,0
313,0
315,4095
317,0
319,0
321,0
323,0
325,348966092475
327,68719476735
329,0
331,10845877
333,68719476735
335,0
337,2097151
339,268435455
341,1023
343,0
345,17592186044415
347,0
349,0
351,68719476735
353,0
355,0
357,16777215
359,0
361,0
363,0
365,68719476735
367,0
369,1152921504606846975
371,0
373,0
375,0
377,0
379,0
381,16383
383,0
385,1152921504606846975
387,811597437
389,0
391,0
393,0
395,0
397,1665138291
399,262143
401,0
403,1152921504606846975
405,0
407,0
409,0
411,0
413,0
415,0
417,0
419,0
421,0
423,0
425,1099511627775
427,1152921504606846975
429,1152921504606846975
431,8796093022207
433,0
435,268435455
437,0
439,0
441,4398046511103
443,0
445,17592186044415
447,0
449,0
451,1048575
453,1073741823
455,4095
457,0
459,0
461,0
463,0
465,1048575
467,0
469,0
471,4503599627370495
473,0
475,0
477,0
479,0
481,126090783
483,0
485,281474976710655
487,0
489,0
491,0
493,72057594037927935
495,1152921504606846975
497,0
499,0
