n,s(n),q(n),q(n)/s(n)
349,0,0,composite or x >= 2^63
351,68719476735,92012193,composite or x >= 2^63
353,0,6210041673678495,composite or x >= 2^63
355,0,0,composite or x >= 2^63
357,16777215,1461915,composite or x >= 2^63
359,0,0,composite or x >= 2^63
361,0,0,composite or x >= 2^63
363,0,0,composite or x >= 2^63
365,68719476735,95682195,composite or x >= 2^63
367,0,0,composite or x >= 2^63
369,1152921504606846975,396210732687,composite or x >= 2^63
371,0,0,composite or x >= 2^63
373,0,0,composite or x >= 2^63
375,0,422212465065983625,composite or x >= 2^63
377,0,1658063534685831,composite or x >= 2^63
379,0,0,composite or x >= 2^63
381,16383,48387,composite or x >= 2^63
383,0,0,composite or x >= 2^63
385,1152921504606846975,413390601855,composite or x >= 2^63
387,811597437,811597437,composite or x >= 2^63
389,0,0,composite or x >= 2^63
391,0,6878544743366265,composite or x >= 2^63
393,0,0,composite or x >= 2^63
395,0,0,composite or x >= 2^63
397,1665138291,1665138291,1
399,262143,203889,composite or x >= 2^63
401,0,0,composite or x >= 2^63
403,1152921504606846975,432717954669,composite or x >= 2^63
405,0,7295831396340203115,composite or x >= 2^63
407,0,0,composite or x >= 2^63
409,0,0,composite or x >= 2^63
411,0,7060926234213,composite or x >= 2^63
413,0,0,composite or x >= 2^63
415,0,0,composite or x >= 2^63
417,0,0,composite or x >= 2^63
419,0,0,composite or x >= 2^63
421,0,0,composite or x >= 2^63
423,0,0,composite or x >= 2^63
425,1099511627775,445644375,composite or x >= 2^63
427,1152921504606846975,458487758421,composite or x >= 2^63
429,1152921504606846975,460635242067,composite or x >= 2^63
431,8796093022207,8796093022207,1
433,0,29755533426255,composite or x >= 2^63
435,268435455,7126605,composite or x >= 2^63
437,0,0,composite or x >= 2^63
439,0,0,composite or x >= 2^63
441,4398046511103,924843591,composite or x >= 2^63
443,0,0,composite or x >= 2^63
445,17592186044415,1866464835,composite or x >= 2^63
447,0,0,composite or x >= 2^63
449,0,0,composite or x >= 2^63
451,1048575,461373,composite or x >= 2^63
453,1073741823,14843451,composite or x >= 2^63
455,4095,28665,composite or x >= 2^63
457,0,125619203472951,composite or x >= 2^63
459,0,31542239821365,composite or x >= 2^63
461,0,0,composite or x >= 2^63
463,0,0,composite or x >= 2^63
465,1048575,475695,composite or x >= 2^63
467,0,0,composite or x >= 2^63
469,0,4028679323179,composite or x >= 2^63
471,4503599627370495,31608274473,composite or x >= 2^63
473,0,16252156247591,composite or x >= 2^63
475,0,0,composite or x >= 2^63
477,0,0,composite or x >= 2^63
479,0,0,composite or x >= 2^63
481,126090783,126090783,composite or x >= 2^63
483,0,4148938407453,composite or x >= 2^63
485,281474976710655,8136949275,composite or x >= 2^63
487,0,0,composite or x >= 2^63
489,0,0,composite or x >= 2^63
491,0,0,composite or x >= 2^63
493,72057594037927935,132338679315,composite or x >= 2^63
495,1152921504606846975,531502202385,composite or x >= 2^63
497,0,0,composite or x >= 2^63
499,0,0,composite or x >= 2^63
